candidate_id,Nom du modèle,Poids réellement disponibles,Nombre de canaux du pré-entraînement,Canaux fixes ou variables,Noms/positions des électrodes utilisés,Fréquence de pré-entraînement,Durée des fenêtres,Prétraitement,Dataset de pré-entraînement,Peut recevoir mes 32 canaux ASC,Justification,Score de compatibilité,Confiance des métadonnées,URL,Licence,Chemin du checkpoint
36,braindecode/EEGInceptionERP,non,22,fixes,à vérifier,à vérifier,à vérifier,"| `n_filters` | int, optional | Initial number of convolutional filters. Defaults to 8 as in [santamaria2020]. |",à vérifier,non,Aucun fichier de poids réellement disponible n'a été détecté.,10.0,faible,https://huggingface.co/braindecode/EEGInceptionERP,bsd-3-clause,.
37,braindecode/EEGInceptionMI,non,22,fixes,à vérifier,à vérifier,à vérifier,"| `n_filters` | int, optional | Number of convolutional filters for all layers of this type. Set to 48 as in [1] for dataset BCI IV 2a. |",à vérifier,non,Aucun fichier de poids réellement disponible n'a été détecté.,10.0,faible,https://huggingface.co/braindecode/EEGInceptionMI,bsd-3-clause,.
38,braindecode/EEGMiner,non,22,fixes,à vérifier,à vérifier,à vérifier,"| `filter_f_mean` | list of float, default=[23.0, 23.0] | Mean frequencies for the generalized Gaussian filters. | | | `filter_bandwidth` | list of float, default=[44.0, 44.0] | Bandwidths for the generalized Gaussian filters. | | | `filter_shape` | list of float, default=[2.0, 2.0] | Shape parameters for the generalized Gaussian filters. | | | `group_delay` | tuple of float, default=(20.0, 20.0) | Group delay values for the filters in milliseconds. |",à vérifier,non,Aucun fichier de poids réellement disponible n'a été détecté.,10.0,faible,https://huggingface.co/braindecode/EEGMiner,bsd-3-clause,.
39,braindecode/EEGNeX,non,22,fixes,à vérifier,à vérifier,à vérifier,"| `filter_1` | int, optional | Number of filters in the first convolutional layer. Default is 8. | | | `filter_2` | int, optional | Number of filters in the second convolutional layer. Default is 32. |",à vérifier,non,Aucun fichier de poids réellement disponible n'a été détecté.,10.0,faible,https://huggingface.co/braindecode/EEGNeX,bsd-3-clause,.
40,braindecode/EEGNet,non,22,fixes,à vérifier,à vérifier,à vérifier,"| `F1` | int, default=8 | Number of temporal filters in the first convolutional layer. | | | `F2` | int or None, default=None | Number of pointwise filters in the separable convolution. Usually set to `F1 * D`. | | | `batch_norm_momentum` | float, default=0.01 | Momentum for instance normalization in batch norm layers. |",à vérifier,non,Aucun fichier de poids réellement disponible n'a été détecté.,10.0,faible,https://huggingface.co/braindecode/EEGNet,bsd-3-clause,.
42,braindecode/EEGPT,non,22,fixes,à vérifier,à vérifier,à vérifier,"| `norm_layer` | torch.nn.Module, default=None | Normalization layer. If None, defaults to `nn.LayerNorm` with epsilon `layer_norm_eps`. | | | `layer_norm_eps` | float, default=1e-6 | Epsilon value for the normalization layer. |",à vérifier,non,Aucun fichier de poids réellement disponible n'a été détecté.,10.0,faible,https://huggingface.co/braindecode/EEGPT,bsd-3-clause,.
43,braindecode/EEGSimpleConv,non,22,fixes,à vérifier,à vérifier,à vérifier,| `resampling: int` | — | Resampling Frequency. |,à vérifier,non,Aucun fichier de poids réellement disponible n'a été détecté.,10.0,faible,https://huggingface.co/braindecode/EEGSimpleConv,bsd-3-clause,.
44,braindecode/EEGSym,non,22,fixes,à vérifier,à vérifier,à vérifier,"| `filters_per_branch` | int, optional | Number of filters in each inception branch. Should be a multiple of 8. Default is 12 [eegsym2022]. |",à vérifier,non,Aucun fichier de poids réellement disponible n'a été détecté.,10.0,faible,https://huggingface.co/braindecode/EEGSym,bsd-3-clause,.
45,braindecode/EEGTCNet,non,22,fixes,à vérifier,à vérifier,à vérifier,"| `filter_1` | int, optional | Number of temporal filters in the first convolutional layer. Default is 8. | | | `filters` | int, optional | Number of filters in the TCN convolutional layers. Default is 12. |",à vérifier,non,Aucun fichier de poids réellement disponible n'a été détecté.,10.0,faible,https://huggingface.co/braindecode/EEGTCNet,bsd-3-clause,.
104,braindecode/Labram,non,22,fixes,à vérifier,à vérifier,à vérifier,"| `qk_norm` | Pytorch Normalize layer (default=nn.LayerNorm) | If not None, apply LayerNorm to the query and key tensors. Default is nn.LayerNorm for better weight transfer from original LaBraM. Set to None to disable Q,K normalization. | | | `norm_layer` | Pytorch Normalize layer (default=nn.LayerNorm) | The normalization layer to be used. |",à vérifier,non,Aucun fichier de poids réellement disponible n'a été détecté.,10.0,faible,https://huggingface.co/braindecode/Labram,bsd-3-clause,.
108,braindecode/CBraMod,non,22,fixes,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,non,Aucun fichier de poids réellement disponible n'a été détecté.,5.5,faible,https://huggingface.co/braindecode/CBraMod,bsd-3-clause,.
35,braindecode/EEGITNet,non,22,fixes,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,non,Aucun fichier de poids réellement disponible n'a été détecté.,5.5,faible,https://huggingface.co/braindecode/EEGITNet,bsd-3-clause,.
41,braindecode/EEGNetv4,non,22,fixes,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,non,Aucun fichier de poids réellement disponible n'a été détecté.,5.5,faible,https://huggingface.co/braindecode/EEGNetv4,bsd-3-clause,.
95,preetham/labra_model1,non,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,non,Aucun fichier de poids réellement disponible n'a été détecté.,0.0,faible,https://huggingface.co/preetham/labra_model1,,.
